Date,Open,High,Low,Close,Volume
2025-10-21,254.74,254.88,244.15,250.46,47310000
2025-10-20,254.69,257.33,254.23,256.55,22350000
2025-10-17,250.76,254.22,247.81,253.3,29670000
2025-10-16,251.76,256.96,250.1,251.46,28000000
2025-10-15,247.24,252.11,245.99,251.03,27010000
2025-10-14,241.23,247.12,240.51,245.45,22110000
2025-10-13,240.21,244.5,239.71,244.15,25000000
2025-10-10,241.43,244.09,235.84,236.57,33180000
2025-10-09,244.47,244.76,239.15,241.53,27890000
2025-10-08,244.96,246.01,243.82,244.62,21310000
2025-10-07,248.27,250.44,245.52,245.76,23180000
2025-10-06,244.78,251.32,244.58,250.43,28890000
2025-10-03,244.49,246.3,241.65,245.35,30250000
2025-10-02,245.15,246.81,242.3,245.69,25480000
2025-10-01,240.75,246.3,238.61,244.9,31660000
2025-09-30,242.81,243.29,239.24,243.1,34720000
2025-09-29,247.85,251.15,242.77,244.05,32509999
2025-09-26,247.07,249.42,245.97,246.54,18500000
2025-09-25,244.4,246.49,240.74,245.79,31020000
2025-09-24,251.66,252.35,246.44,247.14,28200000
2025-09-23,253.04,254.36,250.48,251.66,26630000
2025-09-22,254.43,255.78,250.3,252.53,32290000
2025-09-19,253.25,256.0,251.81,254.72,55570000
2025-09-18,251.68,253.99,249.8,252.03,31240000
2025-09-17,251.22,251.6,246.28,249.53,34110000
2025-09-16,252.08,253.04,249.47,251.16,34110000
2025-09-15,244.66,252.41,244.66,251.61,58380000
2025-09-12,240.37,242.07,238.0,240.8,26770000
2025-09-11,239.88,242.25,236.25,240.37,30600000
2025-09-10,238.9,241.66,237.85,239.17,35140000
2025-09-09,234.16,240.47,233.23,239.63,38060000
2025-09-08,235.47,238.13,233.67,234.04,32470000
2025-09-05,232.2,235.76,231.9,235.0,46590000
2025-09-04,229.65,232.37,226.11,232.3,51680000
2025-09-03,226.21,231.31,224.79,230.66,103340000
2025-09-02,208.44,211.68,206.2,211.35,47520000
2025-08-29,210.51,214.65,210.2,212.91,39730000
2025-08-28,207.25,212.22,206.9,211.64,32340000
2025-08-27,205.7,208.91,205.65,207.48,23020000
2025-08-26,207.51,207.85,205.7,207.14,28460000
2025-08-25,206.43,210.52,205.28,208.49,29930000
2025-08-22,202.73,208.54,201.3,206.09,42830000
2025-08-21,199.74,202.48,199.43,199.75,19770000
2025-08-20,200.73,201.28,196.6,199.32,28960000
2025-08-19,203.03,203.44,199.96,201.57,24240000
2025-08-18,204.2,205.26,202.49,203.5,18530000
2025-08-15,203.85,206.44,201.28,203.9,34930000
2025-08-14,201.5,204.44,201.23,202.94,25230000
2025-08-13,204.13,204.53,197.51,201.96,28340000
2025-08-12,201.37,204.5,200.59,203.34,30420000
2025-08-11,200.93,201.48,199.07,201.0,25830000
2025-08-08,197.22,202.61,197.17,201.42,39160000
2025-08-07,197.06,197.54,194.33,196.52,26320000
2025-08-06,194.5,196.63,193.67,196.09,21560000
2025-08-05,194.71,197.86,193.88,194.67,31600000
2025-08-04,190.29,195.27,190.12,195.04,31550000
2025-08-01,189.02,190.83,187.82,189.13,34830000
2025-07-31,195.71,195.99,191.09,191.9,51330000
2025-07-30,195.6,197.6,194.68,196.53,32450000
2025-07-29,192.43,195.92,192.08,195.75,41390000
2025-07-28,193.65,194.05,190.84,192.58,38140000
2025-07-25,191.98,194.33,191.26,193.18,39790000
2025-07-24,197.03,197.95,191.0,192.17,74880000
2025-07-23,191.5,192.53,189.18,190.23,58680000
2025-07-22,191.49,191.65,187.46,191.34,44660000
2025-07-21,186.25,190.29,186.15,190.1,45800000
2025-07-18,185.4,186.42,183.71,185.06,34010000
2025-07-17,182.14,184.06,180.48,183.58,31990000
2025-07-16,183.24,184.33,182.03,182.97,33100000
2025-07-15,182.81,184.22,181.6,182.0,33450000
2025-07-14,181.01,183.67,179.68,181.56,32540000
2025-07-11,176.79,181.43,176.48,180.19,34280000
2025-07-10,175.63,178.43,174.38,177.62,29250000
2025-07-09,175.25,179.44,172.77,176.62,43030000
2025-07-08,177.85,177.95,172.81,174.36,40440000
2025-07-07,179.06,179.3,175.68,176.79,34180000
2025-07-03,178.5,179.67,177.05,179.53,21690000
2025-07-02,175.54,178.86,175.07,178.64,29130000
2025-07-01,175.74,176.09,173.53,175.84,35900000
2025-06-30,180.78,181.23,174.58,176.23,63380000
2025-06-27,173.54,178.68,171.73,178.53,108140000
2025-06-26,172.43,173.69,169.94,173.54,31800000
2025-06-25,167.63,172.36,167.55,170.68,35480000
2025-06-24,166.92,168.22,166.13,166.77,40520000
2025-06-23,166.27,167.34,162.0,165.19,57670000
2025-06-20,173.95,174.34,165.46,166.64,75660000
2025-06-18,176.01,176.56,173.2,173.32,28710000
2025-06-17,175.7,177.36,174.58,175.95,24970000
2025-06-16,174.73,176.94,174.65,176.77,27390000
2025-06-13,172.44,177.13,172.38,174.67,27660000
2025-06-12,176.18,176.72,174.74,175.7,20940000
2025-06-11,179.77,180.37,176.75,177.35,31650000
2025-06-10,176.2,181.1,174.91,178.6,61770000
2025-06-09,174.54,176.47,174.37,176.09,28940000
2025-06-06,170.83,174.5,170.83,173.68,35730000
2025-06-05,170.34,170.93,167.59,168.21,36440000
2025-06-04,166.74,168.21,166.36,168.05,26900000
2025-06-03,167.49,168.48,165.28,166.18,45080000
2025-06-02,167.84,169.87,167.39,169.03,38610000
2025-05-30,171.35,172.21,167.44,171.74,52640000
2025-05-29,174.0,174.42,170.63,171.86,29370000
2025-05-28,173.16,175.26,171.91,172.36,34780000
2025-05-27,170.16,173.17,170.0,172.9,38000000
2025-05-23,169.05,169.96,167.89,168.47,35210000
2025-05-22,171.85,176.77,170.71,170.87,74860000
2025-05-21,163.69,173.14,163.56,168.56,73420000
2025-05-20,166.43,168.5,162.9,163.98,46610000
2025-05-19,164.51,166.64,164.22,166.54,30430000
2025-05-16,167.73,169.35,165.62,166.19,42850000
2025-05-15,165.84,166.21,162.37,163.96,33150000
2025-05-14,159.96,167.0,159.61,165.37,48760000
2025-05-13,158.79,160.57,156.16,159.53,42380000
2025-05-12,157.49,159.1,156.25,158.46,44140000
2025-05-09,154.17,155.05,152.2,152.75,32439999
2025-05-08,155.0,155.93,152.9,154.28,57500000
2025-05-07,164.08,165.0,147.84,151.38,127750000
2025-05-06,162.17,164.8,161.19,163.23,21280000
2025-05-05,163.0,165.39,162.72,164.21,21340000
2025-05-02,163.4,164.97,161.87,164.03,25720000
2025-05-01,160.45,161.95,158.91,161.3,30200000
2025-04-30,157.98,159.27,155.4,158.8,34980000
2025-04-29,160.32,160.74,157.52,160.16,26810000
2025-04-28,162.43,163.15,158.6,160.61,29750000
2025-04-25,165.07,166.1,161.04,161.96,56030000
2025-04-24,156.15,159.59,155.79,159.28,45890000
2025-04-23,155.61,157.52,153.81,155.35,31130000
2025-04-22,148.89,152.19,148.54,151.47,26970000
2025-04-21,148.88,148.95,146.1,147.67,26050000
2025-04-17,154.29,154.68,148.5,151.16,33049999
2025-04-16,153.1,155.89,151.51,153.33,28190000
2025-04-15,159.13,159.65,155.21,156.31,27550000
2025-04-14,159.99,161.72,157.56,159.07,30330000
2025-04-11,152.9,157.67,152.82,157.14,33640000
2025-04-10,156.54,157.72,149.93,152.82,48020000
2025-04-09,144.41,159.55,143.9,158.71,70410000
2025-04-08,151.22,152.24,143.03,144.7,52200000
2025-04-07,141.55,152.85,140.53,146.75,76790000
2025-04-04,148.01,151.07,145.38,145.6,62260000
2025-04-03,151.11,152.78,150.39,150.72,46880000
2025-04-02,155.15,158.41,154.7,157.04,25040000
2025-04-01,153.62,158.1,153.62,157.07,30670000
2025-03-31,153.11,155.54,150.66,154.64,54600000
2025-03-28,160.49,161.82,153.63,154.33,48670000
2025-03-27,164.63,165.42,162.0,162.24,24510000
2025-03-26,169.0,169.61,164.84,165.06,28940000
2025-03-25,168.98,170.63,168.32,170.56,24170000
2025-03-24,167.07,168.32,165.14,167.68,30880000
2025-03-21,161.21,164.24,160.89,163.99,36630000
2025-03-20,161.57,164.89,160.96,162.8,28140000
2025-03-19,161.76,165.87,161.0,163.89,34280000
2025-03-18,163.68,164.25,156.72,160.67,42070000
2025-03-17,165.03,166.3,163.67,164.29,31180000
2025-03-14,163.27,166.49,162.45,165.49,32000000
2025-03-13,166.04,166.13,162.11,162.76,31760000
2025-03-12,166.58,167.64,163.53,167.11,28370000
2025-03-11,164.91,166.75,161.37,164.04,39590000
2025-03-10,168.26,168.46,163.69,165.87,43600000
2025-03-07,171.26,174.97,170.27,173.86,27390000
2025-03-06,170.53,174.81,170.5,172.35,28300000
2025-03-05,170.52,173.78,169.06,173.02,30950000
2025-03-04,166.24,173.29,165.8,170.92,45390000
2025-03-03,171.93,173.37,165.93,167.01,40770000
2025-02-28,168.68,170.61,166.77,170.28,48130000
2025-02-27,173.99,174.56,167.94,168.5,39990000
2025-02-26,175.07,176.08,171.58,172.73,35430000
2025-02-25,178.04,178.74,174.69,175.42,41910000
2025-02-24,181.99,183.12,178.88,179.25,29850000
2025-02-21,185.15,185.34,179.08,179.66,35200000
2025-02-20,184.8,185.31,182.72,184.56,20440000
2025-02-19,184.07,185.46,183.59,185.27,19550000
2025-02-18,185.6,185.96,181.74,183.77,29920000
2025-02-14,185.05,186.4,184.32,185.23,20450000
2025-02-13,184.32,186.28,183.14,186.14,21400000
2025-02-12,183.22,185.11,181.83,183.61,22070000
2025-02-11,185.03,186.94,184.28,185.32,21240000
2025-02-10,187.35,188.2,185.86,186.47,23110000
2025-02-07,191.05,191.18,183.24,185.34,49310000
2025-02-06,189.5,192.1,188.72,191.6,29300000
2025-02-05,191.07,192.75,188.03,191.33,70460000
2025-02-04,203.39,207.05,202.81,206.38,43860000
2025-02-03,200.69,203.75,200.1,201.23,27840000
2025-01-31,202.0,205.48,201.8,204.02,32040000
2025-01-30,198.0,201.4,197.67,200.87,24350000
2025-01-29,195.55,196.79,193.43,195.41,18220000
2025-01-28,192.74,195.48,190.68,195.3,24160000
2025-01-27,192.41,196.88,190.73,191.81,41730000
2025-01-24,198.1,200.9,198.0,200.21,23880000
2025-01-23,198.14,200.3,195.2,197.98,26950000
2025-01-22,199.06,200.48,197.53,198.37,26200000
2025-01-21,199.07,202.29,197.87,198.05,29970000
2025-01-17,196.53,197.23,193.75,196.0,27740000
2025-01-16,194.14,195.48,192.81,192.91,17820000
2025-01-15,193.09,196.36,191.86,195.55,21780000
2025-01-14,191.24,191.98,188.31,189.66,17170000
2025-01-13,190.07,191.18,187.36,191.01,21820000
2025-01-10,194.29,196.52,190.31,192.04,26670000
2025-01-08,192.57,196.29,192.38,193.95,24860000
2025-01-07,197.11,201.0,194.6,195.49,26490000
2025-01-06,193.98,198.22,193.85,196.87,29560000
2025-01-03,191.37,193.21,189.98,191.79,18600000
2025-01-02,190.65,192.0,187.5,189.43,20370000
